,peak_val_dBm,peak_height_dB,f_deviation_pct_span,f_hz,f_ghz,f_rf,f_sg_rf,f_if,f_lo,f_sg_lo,lo_harm,try_no
38,-107.7490845,27.031410200000025,0.0,42280000000.0,42.28,42280000000.0,10570000000,14000000000.0,28280000000.0,7070000000,1,2.0
39,-108.3726654,26.402015700000007,0.0,42340000000.0,42.34,42340000000.0,10585000000,14000000000.0,28340000000.0,7085000000,1,3.0
40,-108.5607834,26.12670899999999,0.0,42400000000.0,42.4,42400000000.0,10600000000,14000000000.0,28400000000.0,7100000000,1,6.0
41,-107.9625549,26.88697814999999,0.0,42460000000.0,42.46,42460000000.0,10615000000,14000000000.0,28460000000.0,7115000000,1,2.0
42,-108.3258896,26.382705650000005,-0.04761904761904634,42520000000.0,42.52,42520000000.0,10630000000,14000000000.0,28520000000.0,7130000000,1,2.0
43,-108.4504166,26.035713149999978,0.0,42580000000.0,42.58,42580000000.0,10645000000,14000000000.0,28580000000.0,7145000000,1,5.0
44,-108.4573593,26.54737089999999,0.0,42640000000.0,42.64,42640000000.0,10660000000,14000000000.0,28640000000.0,7160000000,1,2.0
45,-108.4817734,26.433647150000027,-0.04761904761904634,42700000000.0,42.7,42700000000.0,10675000000,14000000000.0,28700000000.0,7175000000,1,3.0
46,-109.2446976,25.54432675000001,0.0,42760000000.0,42.76,42760000000.0,10690000000,14000000000.0,28760000000.0,7190000000,1,2.0
47,-109.2597275,25.520690900000005,0.04761904761905189,42820000000.0,42.82,42820000000.0,10705000000,14000000000.0,28820000000.0,7205000000,1,3.0
48,-109.2065964,25.47598265000002,0.0,42880000000.0,42.88,42880000000.0,10720000000,14000000000.0,28880000000.0,7220000000,1,2.0
49,-109.2867966,25.547660749999977,-0.04761904761904634,42940000000.0,42.94,42940000000.0,10735000000,14000000000.0,28940000000.0,7235000000,1,5.0
50,-109.6057205,25.216369650000004,0.04761904761905189,43000000000.0,43.0,43000000000.0,10750000000,14000000000.0,29000000000.0,7250000000,1,3.0
51,-110.033432,24.73936465,0.04761904761905189,43060000000.0,43.06,43060000000.0,10765000000,14000000000.0,29060000000.0,7265000000,1,3.0
52,-109.9919128,24.744964600000003,-0.04761904761904634,43120000000.0,43.12,43120000000.0,10780000000,14000000000.0,29120000000.0,7280000000,1,2.0
53,-109.7354431,24.9099655,-0.04761904761904634,43180000000.0,43.18,43180000000.0,10795000000,14000000000.0,29180000000.0,7295000000,1,10.0
54,-109.4137497,25.42516325000001,0.04761904761905189,43240000000.0,43.24,43240000000.0,10810000000,14000000000.0,29240000000.0,7310000000,1,2.0
55,-109.8722687,24.64322659999999,0.0,43300000000.0,43.3,43300000000.0,10825000000,14000000000.0,29300000000.0,7325000000,1,1.0
56,-109.2848206,25.651695199999992,0.0,43360000000.0,43.36,43360000000.0,10840000000,14000000000.0,29360000000.0,7340000000,1,6.0
57,-109.073204,25.472801250000003,0.0,43420000000.0,43.42,43420000000.0,10855000000,14000000000.0,29420000000.0,7355000000,1,14.0
58,-108.8777542,25.835609449999993,-0.04761904761904634,43480000000.0,43.48,43480000000.0,10870000000,14000000000.0,29480000000.0,7370000000,1,5.0
59,-109.3710785,25.17732235000001,0.04761904761905189,43540000000.0,43.54,43540000000.0,10885000000,14000000000.0,29540000000.0,7385000000,1,5.0
60,-108.9776459,25.864295900000002,0.0,43600000000.0,43.6,43600000000.0,10900000000,14000000000.0,29600000000.0,7400000000,1,7.0
61,-108.5524292,26.256210350000003,0.0,43660000000.0,43.66,43660000000.0,10915000000,14000000000.0,29660000000.0,7415000000,1,2.0
62,-108.3396912,26.367774950000012,0.0,43720000000.0,43.72,43720000000.0,10930000000,14000000000.0,29720000000.0,7430000000,1,7.0
63,-107.831398,26.935638450000013,0.0,43780000000.0,43.78,43780000000.0,10945000000,14000000000.0,29780000000.0,7445000000,1,2.0
64,-107.3966522,27.30837249999999,-0.04761904761904634,43840000000.0,43.84,43840000000.0,10960000000,14000000000.0,29840000000.0,7460000000,1,2.0
65,-107.2447357,27.881324799999987,0.0,43900000000.0,43.9,43900000000.0,10975000000,14000000000.0,29900000000.0,7475000000,1,4.0
66,-107.1327896,27.502052300000003,0.04761904761905189,43960000000.0,43.96,43960000000.0,10990000000,14000000000.0,29960000000.0,7490000000,1,2.0
67,-106.6915588,27.987785350000024,0.0,44020000000.0,44.02,44020000000.0,11005000000,14000000000.0,30020000000.0,7505000000,1,4.0
68,-106.5955505,28.12010194999999,0.0,44080000000.0,44.08,44080000000.0,11020000000,14000000000.0,30080000000.0,7520000000,1,2.0
69,-106.9455032,27.824844399999975,0.0,44140000000.0,44.14,44140000000.0,11035000000,14000000000.0,30140000000.0,7535000000,1,4.0
70,-106.7162628,28.0331192,0.0,44200000000.0,44.2,44200000000.0,11050000000,14000000000.0,30200000000.0,7550000000,1,2.0
71,-106.3820343,28.38248444999998,0.0,44260000000.0,44.26,44260000000.0,11065000000,14000000000.0,30260000000.0,7565000000,1,4.0
72,-105.8571167,28.698280350000005,0.0,44320000000.0,44.32,44320000000.0,11080000000,14000000000.0,30320000000.0,7580000000,1,6.0
73,-106.1214676,28.547241199999988,-0.04761904761904634,44380000000.0,44.38,44380000000.0,11095000000,14000000000.0,30380000000.0,7595000000,1,4.0
74,-105.490097,29.686378499999975,0.0,44440000000.0,44.44,44440000000.0,11110000000,14000000000.0,30440000000.0,7610000000,1,3.0
75,-105.142189,29.898651099999995,0.0,44500000000.0,44.5,44500000000.0,11125000000,14000000000.0,30500000000.0,7625000000,1,5.0
76,-104.4366608,30.2203064,0.0,44560000000.0,44.56,44560000000.0,11140000000,14000000000.0,30560000000.0,7640000000,1,2.0
77,-104.3225327,30.42823025,-0.04761904761904634,44620000000.0,44.62,44620000000.0,11155000000,14000000000.0,30620000000.0,7655000000,1,4.0
78,-103.847496,30.941658049999972,0.04761904761905189,44680000000.0,44.68,44680000000.0,11170000000,14000000000.0,30680000000.0,7670000000,1,8.0
79,-103.5080795,31.255638149999996,0.04761904761905189,44740000000.0,44.74,44740000000.0,11185000000,14000000000.0,30740000000.0,7685000000,1,2.0
80,-104.2261505,30.871734599999982,0.04761904761905189,44800000000.0,44.8,44800000000.0,11200000000,14000000000.0,30800000000.0,7700000000,1,14.0
81,-103.5096283,31.240066549999995,0.0,44860000000.0,44.86,44860000000.0,11215000000,14000000000.0,30860000000.0,7715000000,1,2.0
82,-103.4389038,31.534820600000003,0.04761904761905189,44920000000.0,44.92,44920000000.0,11230000000,14000000000.0,30920000000.0,7730000000,1,1.0
83,-103.249733,31.6248092,0.0,44980000000.0,44.98,44980000000.0,11245000000,14000000000.0,30980000000.0,7745000000,1,8.0
84,-103.7821198,30.978759749999995,0.04761904761905189,45040000000.0,45.04,45040000000.0,11260000000,14000000000.0,31040000000.0,7760000000,1,2.0
85,-103.752243,31.14729315000001,0.0,45100000000.0,45.1,45100000000.0,11275000000,14000000000.0,31100000000.0,7775000000,1,1.0
86,-104.1102982,30.546173050000007,0.0,45160000000.0,45.16,45160000000.0,11290000000,14000000000.0,31160000000.0,7790000000,1,4.0
87,-104.0831528,30.396148650000015,-0.04761904761904634,45220000000.0,45.22,45220000000.0,11305000000,14000000000.0,31220000000.0,7805000000,1,2.0
88,-104.1473694,30.57025145,0.04761904761905189,45280000000.0,45.28,45280000000.0,11320000000,14000000000.0,31280000000.0,7820000000,1,2.0
89,-104.5184555,30.062171950000007,-0.04761904761904634,45340000000.0,45.34,45340000000.0,11335000000,14000000000.0,31340000000.0,7835000000,1,3.0
90,-104.3506927,30.578674399999983,-0.04761904761904634,45400000000.0,45.4,45400000000.0,11350000000,14000000000.0,31400000000.0,7850000000,1,2.0
91,-104.625412,29.796310399999996,0.0,45460000000.0,45.46,45460000000.0,11365000000,14000000000.0,31460000000.0,7865000000,1,2.0
92,-104.5065918,30.075111399999997,0.0,45520000000.0,45.52,45520000000.0,11380000000,14000000000.0,31520000000.0,7880000000,1,3.0
93,-104.7887192,29.749854999999997,0.04761904761905189,45580000000.0,45.58,45580000000.0,11395000000,14000000000.0,31580000000.0,7895000000,1,3.0
94,-104.5409927,30.45346835000001,-0.04761904761904634,45640000000.0,45.64,45640000000.0,11410000000,14000000000.0,31640000000.0,7910000000,1,7.0
95,-104.3568192,30.266761700000004,0.0,45700000000.0,45.7,45700000000.0,11425000000,14000000000.0,31700000000.0,7925000000,1,2.0
96,-103.9329376,30.913024949999993,0.0,45760000000.0,45.76,45760000000.0,11440000000,14000000000.0,31760000000.0,7940000000,1,3.0
97,-103.2773819,31.36279295,0.0,45820000000.0,45.82,45820000000.0,11455000000,14000000000.0,31820000000.0,7955000000,1,2.0
98,-102.8442917,31.572296149999985,0.0,45880000000.0,45.88,45880000000.0,11470000000,14000000000.0,31880000000.0,7970000000,1,2.0
99,-102.5209274,31.94047549999999,0.0,45940000000.0,45.94,45940000000.0,11485000000,14000000000.0,31940000000.0,7985000000,1,2.0
100,-102.4297485,32.29573065000001,-0.04761904761904634,46000000000.0,46.0,46000000000.0,11500000000,14000000000.0,32000000000.0,8000000000,1,9.0
101,-101.6823883,33.15966034999998,0.04761904761905189,46060000000.0,46.06,46060000000.0,11515000000,14000000000.0,32060000000.0,8015000000,1,3.0
102,-101.5128098,33.077529850000005,0.04761904761905189,46120000000.0,46.12,46120000000.0,11530000000,14000000000.0,32120000000.0,8030000000,1,3.0
103,-101.2742157,33.259140000000016,0.0,46180000000.0,46.18,46180000000.0,11545000000,14000000000.0,32180000000.0,8045000000,1,2.0
