,peak_val_dBm,peak_height_dB,f_deviation_pct_span,f_hz,f_ghz,f_rf,f_sg_rf,f_if,f_lo,f_sg_lo,lo_harm,try_no
40,-24.02165222,54.325901034999994,0.0,42400000000.0,42.4,42400000000.0,10600000000,14000000000.0,28400000000.0,7100000000,1,2
41,-24.00252533,54.05959701500001,0.0,42460000000.0,42.46,42460000000.0,10615000000,14000000000.0,28460000000.0,7115000000,1,2
42,-23.98912048,53.285774235000005,0.04761904761905189,42520000000.0,42.52,42520000000.0,10630000000,14000000000.0,28520000000.0,7130000000,1,2
43,-24.00787735,53.755512235,0.0,42580000000.0,42.58,42580000000.0,10645000000,14000000000.0,28580000000.0,7145000000,1,2
44,-24.06728363,53.20693969500001,0.0,42640000000.0,42.64,42640000000.0,10660000000,14000000000.0,28640000000.0,7160000000,1,2
45,-24.1244812,54.087711334999995,0.0,42700000000.0,42.7,42700000000.0,10675000000,14000000000.0,28700000000.0,7175000000,1,2
46,-24.18040848,54.024757385,0.0,42760000000.0,42.76,42760000000.0,10690000000,14000000000.0,28760000000.0,7190000000,1,1
47,-24.23660469,52.93953514,0.0,42820000000.0,42.82,42820000000.0,10705000000,14000000000.0,28820000000.0,7205000000,1,2
48,-24.3386879,54.306827545000004,0.04761904761905189,42880000000.0,42.88,42880000000.0,10720000000,14000000000.0,28880000000.0,7220000000,1,2
49,-24.48801804,53.82513809000001,-0.04761904761904634,42940000000.0,42.94,42940000000.0,10735000000,14000000000.0,28940000000.0,7235000000,1,2
50,-24.60781479,54.614894865000004,0.0,43000000000.0,43.0,43000000000.0,10750000000,14000000000.0,29000000000.0,7250000000,1,2
51,-24.70040894,53.92204665999999,0.0,43060000000.0,43.06,43060000000.0,10765000000,14000000000.0,29060000000.0,7265000000,1,1
52,-24.7620697,53.12579727500001,0.04761904761905189,43120000000.0,43.12,43120000000.0,10780000000,14000000000.0,29120000000.0,7280000000,1,2
53,-24.8424263,52.94057083000001,0.0,43180000000.0,43.18,43180000000.0,10795000000,14000000000.0,29180000000.0,7295000000,1,2
54,-24.94289398,53.682422640000006,-0.04761904761904634,43240000000.0,43.24,43240000000.0,10810000000,14000000000.0,29240000000.0,7310000000,1,2
55,-24.96645927,52.71500588000001,0.0,43300000000.0,43.3,43300000000.0,10825000000,14000000000.0,29300000000.0,7325000000,1,2
56,-24.90913582,54.009183879999995,0.0,43360000000.0,43.36,43360000000.0,10840000000,14000000000.0,29360000000.0,7340000000,1,1
57,-24.79349899,53.301448824999994,0.0,43420000000.0,43.42,43420000000.0,10855000000,14000000000.0,29420000000.0,7355000000,1,2
58,-24.69966888,54.39292145499999,0.0,43480000000.0,43.48,43480000000.0,10870000000,14000000000.0,29480000000.0,7370000000,1,2
59,-24.63843918,53.528541565000005,0.0,43540000000.0,43.54,43540000000.0,10885000000,14000000000.0,29540000000.0,7385000000,1,2
60,-24.53591919,54.842422485,0.0,43600000000.0,43.6,43600000000.0,10900000000,14000000000.0,29600000000.0,7400000000,1,2
61,-24.347435,52.70484924,0.0,43660000000.0,43.66,43660000000.0,10915000000,14000000000.0,29660000000.0,7415000000,1,2
62,-24.14796829,54.2617569,0.0,43720000000.0,43.72,43720000000.0,10930000000,14000000000.0,29720000000.0,7430000000,1,2
63,-24.02407455,54.86294937499999,0.0,43780000000.0,43.78,43780000000.0,10945000000,14000000000.0,29780000000.0,7445000000,1,2
64,-23.94895744,53.055894855000005,0.0,43840000000.0,43.84,43840000000.0,10960000000,14000000000.0,29840000000.0,7460000000,1,2
65,-23.80509186,53.704593655,0.0,43900000000.0,43.9,43900000000.0,10975000000,14000000000.0,29900000000.0,7475000000,1,2
66,-23.61199951,53.16173553499999,0.0,43960000000.0,43.96,43960000000.0,10990000000,14000000000.0,29960000000.0,7490000000,1,2
67,-23.42356491,54.10987472500001,0.04761904761905189,44020000000.0,44.02,44020000000.0,11005000000,14000000000.0,30020000000.0,7505000000,1,2
68,-23.32547379,53.40115356,0.04761904761905189,44080000000.0,44.08,44080000000.0,11020000000,14000000000.0,30080000000.0,7520000000,1,2
69,-23.24676895,53.728004455000004,0.0,44140000000.0,44.14,44140000000.0,11035000000,14000000000.0,30140000000.0,7535000000,1,2
70,-23.09868622,53.065887450000005,0.0,44200000000.0,44.2,44200000000.0,11050000000,14000000000.0,30200000000.0,7550000000,1,2
71,-22.91215515,53.292621615,0.0,44260000000.0,44.26,44260000000.0,11065000000,14000000000.0,30260000000.0,7565000000,1,2
72,-22.7600174,53.842353820000014,0.0,44320000000.0,44.32,44320000000.0,11080000000,14000000000.0,30320000000.0,7580000000,1,2
73,-22.71981049,53.10585403,0.0,44380000000.0,44.38,44380000000.0,11095000000,14000000000.0,30380000000.0,7595000000,1,2
74,-22.70141411,53.624483104999996,-0.04761904761904634,44440000000.0,44.44,44440000000.0,11110000000,14000000000.0,30440000000.0,7610000000,1,2
